split,cell_id,comparator,mean_stratum,low_bins,high_bins,overlap_count,weight,eligible,excess_nll,low_local_mean,high_local_mean
development,67#14,CNN,2,147,7,7,0.06666666666666667,True,0.09025572629290352,-0.49297365155957995,-0.36465497873723507
development,67#14,CNN,3,56,7,7,0.06666666666666667,True,0.08394293567926799,-0.1854450365062803,0.14760427176952362
development,67#14,CNN,4,91,210,91,0.8666666666666667,True,0.10011456827982446,0.5807169790451343,0.695489870456125
development,67#14,CNN,5,0,448,0,0.0,False,,,3.4007753164405585
development,67#21,LN,1,364,0,0,0.0,False,,-0.6991160036279604,
development,67#21,LN,2,154,0,0,0.0,False,,-0.4735981896519661,
development,67#21,LN,3,70,42,42,0.3333333333333333,True,-0.025972105986291176,-0.11221915995702147,0.029951447620987892
development,67#21,LN,4,84,182,84,0.6666666666666666,True,-0.0028440400477273524,0.5822128225117922,0.6454876196467711
development,67#21,LN,5,0,448,0,0.0,False,,,3.372020439925109
development,67#21,CNN,1,364,0,0,0.0,False,,-0.6991160036279604,
development,67#21,CNN,2,154,0,0,0.0,False,,-0.4735981896519661,
development,67#21,CNN,3,70,42,42,0.3333333333333333,True,0.02582665957529428,-0.11221915995702147,0.029951447620987892
development,67#21,CNN,4,84,182,84,0.6666666666666666,True,-0.02449670370845722,0.5822128225117922,0.6454876196467711
development,67#21,CNN,5,0,448,0,0.0,False,,,3.372020439925109
development,67#26,LN,1,378,0,0,0.0,False,,-0.6991764152491534,
development,67#26,LN,2,147,7,7,0.047619047619047616,True,0.19162337205856989,-0.4839253436951411,-0.32580500841140747
development,67#26,LN,3,49,42,42,0.2857142857142857,True,0.04565672067421466,-0.14607110202445517,0.030214005305121343
development,67#26,LN,4,98,161,98,0.6666666666666666,True,0.03713607139440719,0.5863007111208781,0.6448695860985343
development,67#26,LN,5,0,462,0,0.0,False,,,3.3044566277795555
development,67#26,CNN,1,378,0,0,0.0,False,,-0.6991764152491534,
development,67#26,CNN,2,147,7,7,0.047619047619047616,True,0.3580056002423676,-0.4839253436951411,-0.32580500841140747
development,67#26,CNN,3,49,42,42,0.2857142857142857,True,0.006474156544470849,-0.14607110202445517,0.030214005305121343
development,67#26,CNN,4,98,161,98,0.6666666666666666,True,-0.07311941370828487,0.5863007111208781,0.6448695860985343
development,67#26,CNN,5,0,462,0,0.0,False,,,3.3044566277795555
development,67#33,LN,1,392,0,0,0.0,False,,-0.6914273418486119,
development,67#33,LN,2,154,7,7,0.07142857142857142,True,0.1330872365328023,-0.49480311193249454,-0.3786095649003984
development,67#33,LN,3,49,14,14,0.14285714285714285,True,-0.00609932870631931,-0.1588237453252077,0.012913582473993296
development,67#33,LN,4,77,133,77,0.7857142857142857,True,-0.055279528244974105,0.5973030198704112,0.6425043414248838
development,67#33,LN,5,0,518,0,0.0,False,,,3.09519269333026
development,67#33,CNN,1,392,0,0,0.0,False,,-0.6914273418486119,
development,67#33,CNN,2,154,7,7,0.07142857142857142,True,0.5279275977853165,-0.49480311193249454,-0.3786095649003984
development,67#33,CNN,3,49,14,14,0.14285714285714285,True,-0.060385447711917145,-0.1588237453252077,0.012913582473993296
development,67#33,CNN,4,77,133,77,0.7857142857142857,True,0.04852031829582368,0.5973030198704112,0.6425043414248838
development,67#33,CNN,5,0,518,0,0.0,False,,,3.09519269333026
development,67#34,LN,1,266,0,0,0.0,False,,-0.7366722645728212,
development,67#34,LN,2,161,21,21,0.08571428571428572,True,0.03740217039030638,-0.4441149430754392,-0.25455741956830025
development,67#34,LN,3,84,63,63,0.2571428571428571,True,0.0741497164590577,-0.08323238731827587,-0.014173790036390225
development,67#34,LN,4,161,161,161,0.6571428571428571,True,0.03897965740937638,0.5929218407558359,0.6909991367517606
development,67#34,LN,5,0,427,0,0.0,False,,,3.7984076804924207
development,67#34,CNN,1,266,0,0,0.0,False,,-0.7366722645728212,
development,67#34,CNN,2,161,21,21,0.08571428571428572,True,-0.14560729314675358,-0.4441149430754392,-0.25455741956830025
development,67#34,CNN,3,84,63,63,0.2571428571428571,True,0.09435441578796744,-0.08323238731827587,-0.014173790036390225
development,67#34,CNN,4,161,161,161,0.6571428571428571,True,-0.014314531377724399,0.5929218407558359,0.6909991367517606
development,67#34,CNN,5,0,427,0,0.0,False,,,3.7984076804924207
development,68#3,LN,1,385,0,0,0.0,False,,-0.6619793946092778,
development,68#3,LN,2,133,14,14,0.08333333333333333,True,0.0037410620967874113,-0.42688792411303306,-0.3216620646417141
development,68#3,LN,3,42,77,42,0.25,True,0.02464763365314479,-0.139364475714198,0.06382701793600888
development,68#3,LN,4,112,126,112,0.6666666666666666,True,-0.05397891482995836,0.5542589245984951,0.6924081406969991
development,68#3,LN,5,0,455,0,0.0,False,,,3.1873328993705887
development,68#3,CNN,1,385,0,0,0.0,False,,-0.6619793946092778,
development,68#3,CNN,2,133,14,14,0.08333333333333333,True,0.1252684410877059,-0.42688792411303306,-0.3216620646417141
development,68#3,CNN,3,42,77,42,0.25,True,-0.09954702551821248,-0.139364475714198,0.06382701793600888
